,Unnamed: 0,color_02_026,color_026_032,color_032_038,color_038_044,color_044_05,color_05_056,color_056_062,color_062_068,color_068_074,color_074_08
0,DNE,0.0,,,,,,,,,
DNE,,0.0,,,,,,,,,
